"sample_id"	"wwtp_code"	"lab_code"	"uwwtd_code"	"Labor"	"Q"	"EC"	"pH"	"PMMOV"	"CrA"	"sample_date"	"sample_date_day_adjusted"	"N1"	"N2"	"N3"	"E"	"RdRp"	"ORF"	"S"	"pcr_loq_n1"	"pcr_loq_n2"	"pcr_loq_n3"	"pcr_loq_e"	"pcr_loq_orf"	"pcr_loq_rdrp"	"pcr_loq_s"	"g_mean"
7434	46	8	"DETP_BW2215100000002"	"BW_LB-3"	1433	NA	7.5	6.8e+07	9.4e+07	2022-01-03	"Monday"	NA	NA	NA	36000	24000	29000	NA	2700	4000	NA	2700	2700	2700	4000	29261.9937664399
1105	100	18	"DETP_NW1"	"NW_LB-2"	2052.54166666667	576	7.21	NA	NA	2022-01-04	"Monday"	97300	97300	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	97300
1106	100	18	"DETP_NW1"	"NW_LB-2"	1899	759	7.22	NA	NA	2022-01-05	"Wednesday"	50150	50150	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	50150
7433	46	8	"DETP_BW2215100000002"	"BW_LB-3"	924	NA	7.6	2.9e+07	4.4e+07	2022-01-10	"Monday"	NA	NA	NA	80000	31000	36000	NA	2700	4000	NA	2700	2700	2700	4000	44694.2232373823
1107	100	18	"DETP_NW1"	"NW_LB-2"	930.5	1304	7.05	NA	NA	2022-01-11	"Monday"	73030	73030	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	73030
7432	46	8	"DETP_BW2215100000002"	"BW_LB-3"	690	NA	7.8	1.8e+08	5.8e+08	2022-01-12	"Wednesday"	NA	NA	NA	125000	53000	69000	NA	2700	4000	NA	2700	2700	2700	4000	77033.2683586971
1108	100	18	"DETP_NW1"	"NW_LB-2"	891.833333333333	1339	7.07	NA	NA	2022-01-12	"Wednesday"	227020	227020	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	227020
7431	46	8	"DETP_BW2215100000002"	"BW_LB-3"	627	NA	7.4	1.2e+08	2.2e+08	2022-01-17	"Monday"	NA	NA	NA	52000	103000	41000	NA	2700	4000	NA	2700	2700	2700	4000	60331.1321263469
7430	46	8	"DETP_BW2215100000002"	"BW_LB-3"	902	NA	7.12	7.5e+08	1.4e+08	2022-01-19	"Wednesday"	NA	NA	NA	44000	31000	62000	NA	2700	4000	NA	2700	2700	2700	4000	43893.6827061472
2450	101	18	"DETP_NW12"	"NW_LB-2"	305.916666666667	1143	7.59	NA	NA	2022-01-19	"Wednesday"	73530	73530	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	73529.9999999999
1109	100	18	"DETP_NW1"	"NW_LB-2"	1075.75	1216	6.98	NA	NA	2022-01-19	"Wednesday"	308750	308750	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	308750
2451	101	18	"DETP_NW12"	"NW_LB-2"	197.625	1130	7.61	NA	NA	2022-01-23	"Monday"	63260	63260	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	63260
1110	100	18	"DETP_NW1"	"NW_LB-2"	744.333333333333	1428	7.66	NA	NA	2022-01-23	"Monday"	183690	183690	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	183690
7429	46	8	"DETP_BW2215100000002"	"BW_LB-3"	574	NA	7.5	1.5e+08	3e+08	2022-01-24	"Monday"	NA	NA	NA	111000	127000	113000	NA	2700	4000	NA	2700	2700	2700	4000	116788.939380785
1111	100	18	"DETP_NW1"	"NW_LB-2"	784.041666666667	NA	NA	NA	NA	2022-01-24	"Monday"	276780	276780	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	276780
7428	46	8	"DETP_BW2215100000002"	"BW_LB-3"	577	NA	7.56	2e+08	3.7e+08	2022-01-26	"Wednesday"	NA	NA	NA	153000	189000	127000	NA	2700	4000	NA	2700	2700	2700	4000	154283.323375647
2452	101	18	"DETP_NW12"	"NW_LB-2"	190.375	1216	7.79	NA	NA	2022-01-26	"Wednesday"	133230	133230	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	133230
1112	100	18	"DETP_NW1"	"NW_LB-2"	767.291666666667	1463	7.03	NA	NA	2022-01-26	"Wednesday"	308750	308750	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	308750
2453	101	18	"DETP_NW12"	"NW_LB-2"	312.5	1064	7.74	NA	NA	2022-01-30	"Monday"	50150	50150	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	50150
1113	100	18	"DETP_NW1"	"NW_LB-2"	1043.75	1105	7.5	NA	NA	2022-01-30	"Monday"	154840	154840	NA	NA	NA	NA	NA	5000	5000	NA	4000	4000	4000	4000	154840
7425	46	8	"DETP_BW2215100000002"	"BW_LB-3"	767	1343	6.9	1.6e+08	3.7e+08	2022-01-31	"Monday"	NA	NA	NA	93000	102000	87000	NA	2700	4000	NA	2700	2700	2700	4000	93799.5577983132
9199	91	12	"DETP_BYM-K0002"	"BY_LB-3"	3425.92	1297.242804	NA	80300.3	NA	2022-02-01	"Monday"	NA	555600	NA	364000	NA	82500	NA	1250	1250	1250	1250	1250	1250	4000	255528.408318425
10102	88	12	"DETP_BYDON-K0001_KAN-2"	"BY_LB-3"	71	NA	7	55751	NA	2022-02-02	"Wednesday"	NA	4220900	NA	2958900	NA	2600300	NA	1250	1250	1250	1250	1250	1250	4000	3190457.2934279
9963	86	12	"DETP_BYDON-K0001"	"BY_LB-3"	1730.27777777778	NA	NA	63256.375	NA	2022-02-02	"Wednesday"	NA	1635000	NA	933375	NA	473500	NA	1250	1250	1250	1250	1250	1250	4000	897355.718796121
7616	45	8	"DETP_BW2125100000014"	"BW_LB-3"	1850	NA	7.9	1.7e+08	3.8e+08	2022-02-02	"Wednesday"	NA	NA	NA	131000	139000	102000	NA	2700	4000	NA	2700	2700	2700	4000	122921.756040668
