"sample_id"	"wwtp_code"	"lab_code"	"uwwtd_code"	"Labor"	"Q"	"EC"	"pH"	"PMMOV"	"CrA"	"sample_date"	"sample_date_day_adjusted"	"N1"	"N2"	"N3"	"E"	"RdRp"	"ORF"	"S"	"pcr_loq_n1"	"pcr_loq_n2"	"pcr_loq_n3"	"pcr_loq_e"	"pcr_loq_orf"	"pcr_loq_rdrp"	"pcr_loq_s"	"g_mean"
4295	98	16	"DETP_HH4/4 AI 3_KAN-2"	"HH_LB-1"	4056	1230	7.8	43345000	NA	2022-03-01	"Wednesday"	NA	28000	NA	14000	NA	NA	NA	4000	7891.52054794521	NA	14029.3698630137	4000	4000	4000	19798.9898732233
8869	63	9	"DETP_BYRO-K0134"	"BW_LB-4"	17.5231481481481	NA	NA	353000	353000	2022-04-06	"Wednesday"	26700	2300	NA	NA	49200	NA	NA	2500	2500	2500	2500	2500	2500	4000	14456.6633141761
8868	63	9	"DETP_BYRO-K0134"	"BW_LB-4"	14.5717592592593	NA	NA	NA	206000	2022-04-11	"Monday"	900	26300	NA	NA	5500	NA	NA	2500	2500	2500	2500	2500	2500	4000	5068.19888639192
8365	65	9	"DETP_BYTS-K0001"	"BW_LB-4"	25.5	1420	7.6	NA	228000	2022-04-12	"Monday"	1300	36700	NA	NA	14000	NA	NA	2500	2500	2500	2500	2500	2500	4000	8741.36290573122
8867	63	9	"DETP_BYRO-K0134"	"BW_LB-4"	13.8888888888889	NA	NA	NA	319000	2022-04-18	"Monday"	5000	2200	NA	NA	30100	NA	NA	2500	2500	2500	2500	2500	2500	4000	6918.09296242167
8866	63	9	"DETP_BYRO-K0134"	"BW_LB-4"	13.5763888888889	NA	NA	NA	1383000	2022-04-20	"Wednesday"	20900	900	NA	NA	11200	NA	NA	2500	2500	2500	2500	2500	2500	4000	5950.25538531437
9019	64	9	"DETP_BYRO-K0137"	"BW_LB-4"	36.3310185185185	NA	NA	NA	199000	2022-04-27	"Wednesday"	1800	10000	NA	NA	7800	NA	NA	2500	2500	2500	2500	2500	2500	4000	5197.43463204542
6383	67	9	"DETP_RP104005810"	"BW_LB-4"	120	1209	7.9	NA	NA	2022-05-03	"Monday"	NA	1300	NA	NA	18400	NA	NA	4000	4000	NA	4000	4000	4000	4000	4890.807704255
9017	64	9	"DETP_BYRO-K0137"	"BW_LB-4"	39.8611111111111	NA	NA	NA	317000	2022-05-04	"Wednesday"	4700	10	NA	NA	9900	NA	NA	2500	2500	2500	2500	2500	2500	4000	774.897662519009
6382	67	9	"DETP_RP104005810"	"BW_LB-4"	116	1208	7.86	NA	NA	2022-05-08	"Monday"	14000	600	NA	NA	6700	NA	NA	4000	4000	NA	4000	4000	4000	4000	3832.22820484773
4592	66	9	"DETP_NI459014201"	"BW_LB-4"	61	2270	8.6	NA	NA	2022-05-09	"Monday"	14000	600	NA	NA	15300	NA	NA	4000	700	NA	4000	4000	4000	4000	5046.49955112617
8356	65	9	"DETP_BYTS-K0001"	"BW_LB-4"	23.5	1152	7.9	NA	NA	2022-05-16	"Monday"	1100	12700	NA	NA	19700	NA	NA	2500	2500	2500	2500	2500	2500	4000	6504.60423292039
