Kennziffer;Raumeinheit;Aggregat;Einwohnerdichte
;;;2022
"01001";"Flensburg, Stadt";"Kreise";"1.631,41"
"01002";"Kiel, Landeshauptstadt";"Kreise";"2.087,80"
"01003";"Lübeck, Hansestadt";"Kreise";"1.018,23"
"01004";"Neumünster, Stadt";"Kreise";"1.109,43"
"01051";"Dithmarschen";"Kreise";"94,70"
"01053";"Herzogtum Lauenburg";"Kreise";"161,28"
"01054";"Nordfriesland";"Kreise";"81,13"
"01055";"Ostholstein";"Kreise";"146,16"
"01056";"Pinneberg";"Kreise";"484,95"
"01057";"Plön";"Kreise";"121,14"
"01058";"Rendsburg-Eckernförde";"Kreise";"127,40"
"01059";"Schleswig-Flensburg";"Kreise";"99,47"
"01060";"Segeberg";"Kreise";"211,97"
"01061";"Steinburg";"Kreise";"125,43"
"01062";"Stormarn";"Kreise";"323,63"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"2.505,82"
"03101";"Braunschweig, Stadt";"Kreise";"1.306,72"
"03102";"Salzgitter, Stadt";"Kreise";"465,71"
"03103";"Wolfsburg, Stadt";"Kreise";"615,58"
"03151";"Gifhorn";"Kreise";"114,98"
"03153";"Goslar";"Kreise";"139,31"
"03154";"Helmstedt";"Kreise";"136,76"
"03155";"Northeim";"Kreise";"105,03"
"03157";"Peine";"Kreise";"258,96"
"03158";"Wolfenbüttel";"Kreise";"166,41"
"03159";"Göttingen";"Kreise";"187,11"
"03241";"Region Hannover";"Kreise";"511,03"
"03251";"Diepholz";"Kreise";"111,91"
"03252";"Hameln-Pyrmont";"Kreise";"188,88"
"03254";"Hildesheim";"Kreise";"230,37"
"03255";"Holzminden";"Kreise";"102,14"
"03256";"Nienburg (Weser)";"Kreise";"88,14"
"03257";"Schaumburg";"Kreise";"236,74"
"03351";"Celle";"Kreise";"117,35"
"03352";"Cuxhaven";"Kreise";"97,82"
"03353";"Harburg";"Kreise";"209,77"
"03354";"Lüchow-Dannenberg";"Kreise";"40,07"
"03355";"Lüneburg";"Kreise";"141,25"
"03356";"Osterholz";"Kreise";"178,58"
"03357";"Rotenburg (Wümme)";"Kreise";"80,78"
"03358";"Heidekreis";"Kreise";"77,28"
"03359";"Stade";"Kreise";"165,94"
"03360";"Uelzen";"Kreise";"64,52"
"03361";"Verden";"Kreise";"178,52"
"03401";"Delmenhorst, Stadt";"Kreise";"1.255,16"
"03402";"Emden, Stadt";"Kreise";"449,84"
"03403";"Oldenburg (Oldenburg), Stadt";"Kreise";"1.676,50"
"03404";"Osnabrück, Stadt";"Kreise";"1.397,05"
"03405";"Wilhelmshaven, Stadt";"Kreise";"710,38"
"03451";"Ammerland";"Kreise";"175,53"
"03452";"Aurich";"Kreise";"149,20"
"03453";"Cloppenburg";"Kreise";"125,11"
"03454";"Emsland";"Kreise";"117,23"
"03455";"Friesland";"Kreise";"164,52"
"03456";"Grafschaft Bentheim";"Kreise";"143,89"
"03457";"Leer";"Kreise";"160,58"
"03458";"Oldenburg";"Kreise";"125,76"
"03459";"Osnabrück";"Kreise";"172,60"
"03460";"Vechta";"Kreise";"180,45"
"03461";"Wesermarsch";"Kreise";"108,60"
