Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Einwohnerdichte
;;;2022;2022
"01";"Schleswig-Holstein";"Bundesländer";"2.953.270,00";"186,86"
"02";"Hamburg";"Bundesländer";"1.892.122,00";"2.505,82"
"03";"Niedersachsen";"Bundesländer";"8.140.242,00";"170,62"
"04";"Bremen";"Bundesländer";"684.864,00";"1.630,86"
"05";"Nordrhein-Westfalen";"Bundesländer";"18.139.116,00";"531,74"
"06";"Hessen";"Bundesländer";"6.391.360,00";"302,68"
"07";"Rheinland-Pfalz";"Bundesländer";"4.159.150,00";"209,51"
"08";"Baden-Württemberg";"Bundesländer";"11.280.257,00";"315,55"
"09";"Bayern";"Bundesländer";"13.369.393,00";"189,52"
"10";"Saarland";"Bundesländer";"992.666,00";"386,02"
"11";"Berlin";"Bundesländer";"3.755.251,00";"4.214,08"
"12";"Brandenburg";"Bundesländer";"2.573.135,00";"86,77"
"13";"Mecklenburg-Vorpommern";"Bundesländer";"1.628.378,00";"69,91"
"14";"Sachsen";"Bundesländer";"4.086.152,00";"221,47"
"15";"Sachsen-Anhalt";"Bundesländer";"2.186.643,00";"106,84"
"16";"Thüringen";"Bundesländer";"2.126.846,00";"131,27"
