Kläranlage,Anfang_Probenahme,loess_change_15,color,trend,long,lat,Bundesland,trend_en
Aachen,2024-07-17,1,#9a333d,Ansteigend,6.10416925332846,50.8085349583473,Nordrhein-Westfalen,Increasing
Aalen,2024-07-17,-1,#eac66c,Fallend,10.0976962721463,48.853794728266,Baden-Württemberg,Decreasing
Altötting,2024-07-17,-1,#eac66c,Fallend,12.7032851740613,48.2566285618233,Bayern,Decreasing
Andernach,2024-07-10,2,#9a333d,Ansteigend,7.42251563119967,50.4407136492111,Rheinland-Pfalz,Increasing
Arnstadt,2024-07-03,0,#ce7b47,Unverändert,10.9714738733155,50.890432113078,Thüringen,Unchanged
Aschaffenburg,2024-07-17,2,#9a333d,Ansteigend,9.10918592705662,49.9755683649002,Bayern,Increasing
Augsburg,2024-07-17,-1,#eac66c,Fallend,10.8883679994224,48.4136595516935,Bayern,Decreasing
Bad Kreuznach,2024-07-10,2,#9a333d,Ansteigend,7.8803183944609,49.8597758552306,Rheinland-Pfalz,Increasing
Bad Mergentheim,2024-07-17,-1,#eac66c,Fallend,9.749,49.5,Baden-Württemberg,Decreasing
Bad Reichenhall,2024-07-17,-1,#eac66c,Fallend,12.9244492742378,47.7654034009733,Bayern,Decreasing
Bautzen,2024-07-10,-2,#eac66c,Fallend,14.4656573200924,51.1765777850379,Sachsen,Decreasing
Bayreuth,2024-07-17,0,#ce7b47,Unverändert,11.548,49.96,Bayern,Unchanged
Berchtesgaden,2024-07-17,2,#9a333d,Ansteigend,13.0336327970608,47.6466223048748,Bayern,Increasing
Berg,2024-07-17,1,#9a333d,Ansteigend,9.61266146309602,47.8235379393525,Baden-Württemberg,Increasing
Berlin Ruhleben,2024-07-14,0,#ce7b47,Unverändert,13.2316804064126,52.5315796743214,Berlin,Unchanged
Berlin Schönerlinde,2024-07-14,2,#9a333d,Ansteigend,13.4166377643276,52.6650260097835,Berlin,Increasing
Berlin Waßmannsdorf,2024-07-14,2,#9a333d,Ansteigend,13.4668654808737,52.3879909416715,Berlin,Increasing
Bernburg,2024-07-09,1,#9a333d,Ansteigend,11.7691568945389,51.7997870589016,Sachsen-Anhalt,Increasing
Bielefeld,2024-07-10,NA,#818589,Nicht genügend Daten,NA,NA,Nordrhein-Westfalen,Not enough data
Bonn,2024-07-17,1,#9a333d,Ansteigend,7.09292041785537,50.7572972075493,Nordrhein-Westfalen,Increasing
Borken,2024-07-10,-2,#eac66c,Fallend,6.83132724979584,51.8518840413055,Nordrhein-Westfalen,Decreasing
Bottrop,2024-07-17,0,#ce7b47,Unverändert,6.98091744484213,51.510935269588,Nordrhein-Westfalen,Unchanged
Brandenburg an der Havel,2024-07-10,2,#9a333d,Ansteigend,12.4365223005683,52.4178614430517,Brandenburg,Increasing
Braunschweig,2024-07-17,-2,#eac66c,Fallend,10.444388720147,52.3217382450439,Niedersachsen,Decreasing
Bremen,2024-07-17,-2,#eac66c,Fallend,8.71506910231405,53.1158938430918,Bremen,Decreasing
Büdingen,2024-07-17,1,#9a333d,Ansteigend,9.08415825597644,50.2901400713176,Hessen,Increasing
Celle,2024-07-17,-1,#eac66c,Fallend,10.056,52.623,Niedersachsen,Decreasing
Chemnitz,2024-07-10,2,#9a333d,Ansteigend,12.8920510217363,50.8835767761246,Sachsen,Increasing
Cottbus,2024-07-10,2,#9a333d,Ansteigend,14.3511970497061,51.7733935912435,Brandenburg,Increasing
Darmstadt,2024-07-17,-2,#eac66c,Fallend,8.626,49.886,Hessen,Decreasing
Dessau,2024-07-06,-2,#eac66c,Fallend,12.2093192664862,51.8599520394741,Sachsen-Anhalt,Decreasing
Dinslaken,2024-07-17,2,#9a333d,Ansteigend,6.71769002345603,51.5717579529179,Nordrhein-Westfalen,Increasing
Donaueschingen,2024-07-17,0,#ce7b47,Unverändert,8.522,47.949,Baden-Württemberg,Unchanged
Dortmund-Deusen,2024-07-17,0,#ce7b47,Unverändert,7.42629273876999,51.5377387146927,Nordrhein-Westfalen,Unchanged
Dortmund-Scharnhorst,2024-07-17,0,#ce7b47,Unverändert,7.5224223481831904,51.5361473369526,Nordrhein-Westfalen,Unchanged
Dresden,2024-07-10,2,#9a333d,Ansteigend,13.6736024980014,51.0709617900802,Sachsen,Increasing
Duisburg,2024-07-17,1,#9a333d,Ansteigend,6.72213593544807,51.491462420141,Nordrhein-Westfalen,Increasing
Döbeln,2024-07-17,2,#9a333d,Ansteigend,13.0636288799128,51.1299605947234,Sachsen,Increasing
Düsseldorf (Nord),2024-07-17,-2,#eac66c,Fallend,6.69057716586026,51.27814828938,Nordrhein-Westfalen,Decreasing
Düsseldorf (Süd),2024-07-17,-2,#eac66c,Fallend,6.73894017150191,51.1941027601396,Nordrhein-Westfalen,Decreasing
Ebersbach,2024-07-10,0,#ce7b47,Unverändert,14.57,51.017,Sachsen,Unchanged
