"uwwtd_code"	"lab_name"	"riip_share"	"riip_category"	"n_wwtp_lab"	"lab_riip_median"	"lab_qual_score"	"share_samples_below_lod"
"DETP_HB18-1"	"BD_LB-1"	29	3	19	24	3	0
"DETP_NI101000201"	"BD_LB-1"	17	1	19	24	1	0
"DETP_NI103000201"	"BD_LB-1"	19	1	19	24	1	0
"DETP_NI152012201"	"BD_LB-1"	20	1	19	24	2	0
"DETP_NI201000201"	"BD_LB-1"	20	1	19	24	2	0
"DETP_NI253014201"	"BD_LB-1"	25	2	19	24	2	0
"DETP_NI254021201"	"BD_LB-1"	26	2	19	24	3	0
"DETP_NI351006201"	"BD_LB-1"	24	2	19	24	2	0
"DETP_NI403000201"	"BD_LB-1"	25	2	19	24	2	0
"DETP_NI404000201"	"BD_LB-1"	19	1	19	24	1	0
"DETP_SH1000"	"BD_LB-1"	20	1	19	24	2	0
"DETP_SH3000b"	"BD_LB-1"	20	1	19	24	2	0
"DETP_SH53100"	"BD_LB-1"	26	2	19	24	3	0
"DETP_SH54132"	"BD_LB-1"	29	3	19	24	3	0
"DETP_SH55016"	"BD_LB-1"	24	2	19	24	2	0
"DETP_SH56027"	"BD_LB-1"	18	1	19	24	1	1.4
"DETP_SH58157"	"BD_LB-1"	18	1	19	24	1	0
"DETP_SH59075"	"BD_LB-1"	24	2	19	24	2	0
"DETP_SH61049"	"BD_LB-1"	32	3	19	24	3	0
"DETP_BE01"	"BE_LB-1.1"	12	1	3	19	2	0
"DETP_BE02"	"BE_LB-1.1"	19	1	3	19	2	0
"DETP_BE03"	"BE_LB-1.1"	25	2	3	19	2	0
"DETP_HE064110000001"	"BUW_LB-1"	35	3	17	26	3	14.8
"DETP_HE064120006011"	"BUW_LB-1"	25	2	17	26	1	3.6
"DETP_HE064120008171_KAN-1"	"BUW_LB-1"	26	2	17	26	2	1.7
"DETP_HE064120008171_KAN-2"	"BUW_LB-1"	27	2	17	26	2	1.7
"DETP_HE064140000101"	"BUW_LB-1"	13	1	17	26	1	10
"DETP_HE064140001401"	"BUW_LB-1"	25	2	17	26	1	3.7
"DETP_HE064350140131"	"BUW_LB-1"	26	2	17	26	2	3.6
"DETP_HE064400040301"	"BUW_LB-1"	33	3	17	26	3	17.7
"DETP_HE065340143511"	"BUW_LB-1"	29	3	17	26	3	1.6
"DETP_HE066110006311"	"BUW_LB-1"	30	3	17	26	3	0
"DETP_HE066310091101"	"BUW_LB-1"	28	3	17	26	2	6.9
"DETP_NW1512"	"BUW_LB-1"	26	2	17	26	2	10.6
"DETP_NW1805"	"BUW_LB-1"	28	3	17	26	2	0
"DETP_NW1857"	"BUW_LB-1"	20	1	17	26	1	2.4
"DETP_NW3008"	"BUW_LB-1"	21	2	17	26	1	0
"DETP_NW315"	"BUW_LB-1"	26	2	17	26	2	3.8
"DETP_NW404"	"BUW_LB-1"	22	2	17	26	1	0
"DETP_BW2365100000006"	"BW_LB-4"	30	3	16	29	2	0
"DETP_BW2365100000069"	"BW_LB-4"	35	3	16	29	3	0
"DETP_BW1115100000001"	"BW_LB-2"	21	2	2	20.5	2	0
"DETP_BW4165100000066"	"BW_LB-2"	20	1	2	20.5	2	0
"DETP_BW2125100000014"	"BW_LB-3"	18	1	5	19	1	2.3
"DETP_BW2215100000002"	"BW_LB-3"	19	1	5	19	2	0.8
"DETP_BYDON-K0220"	"BY_LB-2"	23	2	14	25	2	2.8
"DETP_BYHO-K0089"	"BY_LB-1"	20	1	16	19.5	2	0
"DETP_BYN-K0002"	"BY_LB-1"	13	1	16	19.5	1	0.7
"DETP_BYR-K0001"	"BY_LB-1"	7	1	16	19.5	1	4.5
"DETP_BW1285100000051"	"BW_LB-4"	39	3	16	29	3	0
"DETP_BW2315100000061"	"BW_LB-4"	19	1	16	29	1	0
"DETP_BW3175100000001"	"BW_LB-4"	26	2	16	29	2	0
"DETP_BW3365100000001"	"BW_LB-4"	25	2	16	29	2	0
"DETP_BW4355100000011"	"BW_LB-4"	33	3	16	29	2	0
"DETP_BYHO-K0002"	"BY_LB-1"	15	1	16	19.5	1	2.3
"DETP_BYRO-K0134"	"BY_LB-2"	30	3	14	25	2	6.5
"DETP_BYRO-K0137"	"BY_LB-2"	25	2	14	25	2	4.9
"DETP_BYTS-K0001"	"BY_LB-1"	24	2	16	19.5	2	1.9
"DETP_NI459014201"	"UBA_LB-1"	19	1	10	19.5	2	8.8
"DETP_RP104005810"	"RP_LB-1"	33	3	16	31	2	1.7
"DETP_SL120"	"SL_LB-1"	25	2	6	24.5	2	0
"DETP_SL125"	"SL_LB-1"	19	1	6	24.5	1	0
"DETP_SL240"	"BW_LB-4"	28	3	16	29	2	0
"DETP_SL380"	"SL_LB-1"	29	3	6	24.5	3	4
"DETP_ST152601000004"	"SN_LB-1"	32	3	4	25.5	3	0
"DETP_BYAB-K0002"	"BY_LB-1"	18	1	16	19.5	2	1.9
"DETP_BYDEG-K0001"	"BY_LB-1"	10	1	16	19.5	1	4.7
"DETP_BYDON-K0006"	"BY_LB-2"	38	3	14	25	3	8.2
"DETP_BYKG-K0001"	"BY_LB-1"	21	2	16	19.5	2	0.4
"DETP_BYN-K0005"	"BY_LB-1"	17	1	16	19.5	2	0.7
"DETP_BYRO-K0126"	"BY_LB-2"	31	3	14	25	3	0
"DETP_BYTS-K0037"	"BY_LB-1"	28	3	16	19.5	3	14.3
"DETP_BYTS-K0040"	"BY_LB-1"	27	2	16	19.5	3	20.5
"DETP_BYTS-K0042"	"BY_LB-1"	39	3	16	19.5	3	16.2
"DETP_BYTS-K0051"	"BY_LB-1"	19	1	16	19.5	2	0
"DETP_BYTS-K0055"	"BY_LB-1"	23	2	16	19.5	2	6.1
"DETP_BYWEN-K0001"	"BY_LB-1"	35	3	16	19.5	3	2.3
"DETP_BYDEG-K0142"	"BY_LB-2"	25	2	14	25	2	3.4
"DETP_BYDON-K0001"	"BY_LB-2"	13	1	14	25	1	4.9
"DETP_BYDON-K0001_KAN-1"	"BY_LB-2"	31	3	14	25	3	12.1
"DETP_BYDON-K0001_KAN-2"	"BY_LB-2"	27	2	14	25	2	5.7
"DETP_BYDON-K0003"	"BY_LB-2"	23	2	14	25	2	0
"DETP_BYIN-K0003"	"BY_LB-2"	9	1	14	25	1	4.9
"DETP_BYM-K0002"	"BY_LB-2"	21	2	14	25	1	0
"DETP_BYM-K0111"	"BY_LB-2"	34	3	14	25	3	0
"DETP_BYWM-K0097"	"BY_LB-2"	16	1	14	25	1	0
